Date,Category,Amount,Payment_Method,Month
2024-04-04,Utilities,4983.52,Cash,2024-04
2024-02-18,Food,4973.3,Credit Card,2024-02
2024-05-30,Rent,4950.81,Cash,2024-05
2024-03-09,Shopping,4918.77,Credit Card,2024-03
2024-05-23,Rent,4912.62,Debit Card,2024-05
2024-04-04,Travel,4903.62,Debit Card,2024-04
2024-03-24,Utilities,4902.16,Cash,2024-03
2024-06-18,Shopping,4871.4,UPI,2024-06
2024-03-15,Rent,4846.39,Cash,2024-03
2024-05-12,Entertainment,4843.17,Debit Card,2024-05
2024-05-11,Food,4831.6,Credit Card,2024-05
2024-04-26,Food,4778.84,UPI,2024-04
2024-04-19,Food,4774.85,Cash,2024-04
2024-04-12,Shopping,4758.5,UPI,2024-04
2024-02-20,Food,4752.65,Debit Card,2024-02
2024-05-13,Rent,4741.69,Debit Card,2024-05
2024-06-27,Travel,4713.18,UPI,2024-06
2024-04-21,Entertainment,4706.65,Cash,2024-04
2024-03-28,Shopping,4698.91,Credit Card,2024-03
2024-04-23,Utilities,4689.58,Debit Card,2024-04
2024-06-26,Entertainment,4671.4,UPI,2024-06
2024-02-09,Food,4635.29,UPI,2024-02
2024-03-20,Entertainment,4630.75,Debit Card,2024-03
2024-01-25,Rent,4607.29,Credit Card,2024-01
2024-01-03,Food,4584.75,Credit Card,2024-01
2024-06-05,Utilities,4563.54,Cash,2024-06
2024-01-08,Travel,4555.67,Debit Card,2024-01
2024-01-11,Entertainment,4551.41,Credit Card,2024-01
2024-03-15,Travel,4525.44,Debit Card,2024-03
2024-04-14,Entertainment,4522.51,Credit Card,2024-04
2024-05-19,Utilities,4512.05,UPI,2024-05
2024-04-13,Entertainment,4508.37,Cash,2024-04
2024-06-01,Food,4507.92,UPI,2024-06
2024-04-18,Travel,4471.03,UPI,2024-04
2024-05-16,Rent,4470.29,Credit Card,2024-05
2024-05-23,Entertainment,4461.03,UPI,2024-05
2024-06-20,Entertainment,4447.34,Cash,2024-06
2024-05-10,Shopping,4446.72,Debit Card,2024-05
2024-02-15,Utilities,4429.12,Debit Card,2024-02
2024-03-24,Entertainment,4428.07,Debit Card,2024-03
2024-01-04,Entertainment,4403.28,Debit Card,2024-01
2024-06-03,Rent,4399.13,Cash,2024-06
2024-04-22,Food,4356.14,Credit Card,2024-04
2024-04-08,Rent,4348.65,Cash,2024-04
2024-03-15,Travel,4344.26,Debit Card,2024-03
2024-02-10,Shopping,4329.21,Debit Card,2024-02
2024-04-25,Utilities,4317.58,UPI,2024-04
2024-03-10,Utilities,4305.96,Debit Card,2024-03
2024-04-21,Shopping,4269.01,Credit Card,2024-04
2024-04-04,Food,4268.56,Debit Card,2024-04
2024-04-10,Entertainment,4259.68,Cash,2024-04
2024-03-26,Travel,4226.38,Cash,2024-03
2024-01-05,Shopping,4225.91,Debit Card,2024-01
2024-02-08,Food,4219.48,Credit Card,2024-02
2024-06-09,Rent,4204.78,UPI,2024-06
2024-02-29,Entertainment,4143.15,Cash,2024-02
2024-04-06,Entertainment,4124.16,UPI,2024-04
2024-03-29,Rent,4101.34,UPI,2024-03
2024-03-06,Rent,4059.79,Cash,2024-03
2024-05-13,Shopping,4037.99,Debit Card,2024-05
2024-06-12,Food,4037.06,Cash,2024-06
2024-05-16,Rent,4033.98,Cash,2024-05
2024-04-26,Entertainment,4030.34,Cash,2024-04
2024-06-08,Travel,4024.65,Debit Card,2024-06
2024-03-12,Travel,3996.81,Credit Card,2024-03
2024-02-11,Shopping,3990.72,Cash,2024-02
2024-04-09,Shopping,3971.41,Cash,2024-04
2024-04-28,Food,3910.25,Credit Card,2024-04
2024-06-11,Travel,3879.22,Cash,2024-06
2024-03-12,Rent,3879.11,UPI,2024-03
2024-05-23,Rent,3840.49,Cash,2024-05
2024-04-10,Food,3825.12,UPI,2024-04
2024-05-20,Entertainment,3774.81,UPI,2024-05
2024-05-30,Entertainment,3773.12,Debit Card,2024-05
